participant_id,event,time,condition,title,artist,trial,session,music_evoked_affect,mem_positive,mem_vivid,spont_memory,mem_coincidence,artist_exposure_rating,familiarity,childhood_exposure,adolescence_exposure,young_adult_exposure,adult_present_exposure,clip_liking,uri
1,Going to a wedding as a teenager,adol,C,10,no music,1,1,5,7,4,y,1,NA,NA,NA,NA,NA,NA,NA,NA
1,Going to prom or homecoming dance,adol,C,15,no music,2,1,2,4,5,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,A slumber party in junior/high school,adol,C,9,no music,3,1,3,0,0,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,A moment with your high school girlfriend/boyfriend,adol,C,2,no music,4,1,4,3,6,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,A friend's birthday party in high school,adol,C,13,no music,5,1,2,6,5,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,A vacation in your 20s,adult,C,12,no music,6,1,5,6,4,y,1,NA,NA,NA,NA,NA,NA,NA,NA
1,First time voting,adult,C,11,no music,7,1,5,7,5,y,2,NA,NA,NA,NA,NA,NA,NA,NA
1,A sporting event or concert in your 20's,adult,C,5,no music,8,1,5,4,3,y,1,NA,NA,NA,NA,NA,NA,NA,NA
1,A wedding you attended in your 20's,adult,C,1,no music,9,1,3,2,6,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Your wedding,adult,C,3,no music,10,1,4,6,6,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,A moment during summer camp as a child,child,C,14,no music,11,1,3,2,5,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,A night on Halloween in childhood,child,C,8,no music,12,1,5,3,3,y,1,NA,NA,NA,NA,NA,NA,NA,NA
1,A trip out to the see a movie or another performance as a child,child,C,6,no music,13,1,5,7,5,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,A time when you played make-believe,child,C,7,no music,14,1,1,6,4,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,A car ride as a child,child,C,4,no music,15,1,2,4,5,y,1,NA,NA,NA,NA,NA,NA,NA,NA
1,A time going to a movie in junior/high school,adol,U,Gap Tooth Girl,David Quinn,1,2,5,6,4,n,NA,NA,1,1,1,1,1,1,NA
1,First time you taught someone younger than you how to do something,adol,U,Chime,Sandy's,2,2,3,6,6,n,NA,NA,2,1,1,1,1,2,NA
1,A time going to a museum as a teen,adol,U,My Best Year,The Solids,3,2,4,3,4,n,NA,NA,2,1,1,1,1,1,NA
1,Your first date or first kiss,adol,U,By My Side,Kat Wright,4,2,3,1,5,n,NA,NA,1,1,1,1,1,1,NA
1,A time you did a specific chore for your parents,adol,U,Let It Fall,Chris Robinson Brotherhood,5,2,5,6,5,n,NA,NA,1,1,1,1,1,1,NA
1,Your first formal job interview,adult,U,I Do,Kat Wright,6,2,5,2,4,n,NA,NA,2,1,1,1,2,3,NA
1,Proposing to/being proposed to by your partner,adult,U,Let Me Be Your Lovemaker,Humble Pie,7,2,3,5,5,n,NA,NA,1,1,1,1,1,1,NA
1,A memorable party in your 20's,adult,U,You Will Always Be By My Side Forever,Holy Hive,8,2,4,3,5,n,NA,NA,1,1,1,1,1,1,NA
1,The first time you purchased a car,adult,U,Mm-Hmm,The James Hunter Six,9,2,3,6,5,n,NA,NA,1,1,1,1,1,1,NA
1,A time driving cross-country during your 20's,adult,U,My Baby's Tears,Reverend Baron,10,2,2,7,6,n,NA,NA,1,1,1,1,1,1,NA
1,A (particular) event on the playground,child,U,Said She Would,Eli Paperboy Reed,11,2,4,4,5,n,NA,NA,2,1,1,1,1,2,NA
1,A time with a babysitter you had during childhood,child,U,Take Me Home,Jose James,12,2,5,5,6,n,NA,NA,3,1,2,2,2,3,NA
1,A time playing an outdoor game during childhood,child,U,Hold You Back,JC Brooks & The Uptown Sound,13,2,4,6,5,n,NA,NA,1,1,1,1,1,2,NA
1,Getting your first childhood pet,child,U,Be Thou By My Side,Holy Hive,14,2,5,3,4,n,NA,NA,3,1,1,2,1,3,NA
1,A time when you watched a movie/tv show with family as a child,child,U,Mercury Man,Sandy's,15,2,4,3,4,n,NA,NA,1,1,1,1,1,1,NA
1,A moment with your high school best friend,adol,F,Respect,Aretha Franklin,1,3,7,5,5,y,1,4,5,1,4,4,4,5,spotify:track:7s25THrKz86DM225dOYwnr
1,A time going to a concert in high school,adol,F,Bridge Over Troubled Water,Simon & Garfunkel,2,3,7,7,6,y,5,5,5,1,5,4,3,5,spotify:track:6l8EbYRtQMgKOyc1gcDHF9
1,A visit to vacation home during junior/ high school,adol,F,You Can't Hurry Love,The Supremes,3,3,6,4,5,n,NA,5,5,1,4,2,2,4,spotify:track:7bDxiHrazDoD3sOt9JjSDD
1,A trip during high school with friends,adol,F,I Was Made To Love Her,Stevie Wonder,4,3,7,3,4,y,3,5,5,1,4,4,3,5,spotify:track:35Agv76BTtZGXlXutlfuYj
1,A moment when a parent comforted you when you were a teenager,adol,F,Hey Jude - Remastered 2009,The Beatles,5,3,7,0,0,y,0,5,5,1,5,4,3,5,spotify:track:3m7V717IKZqZLW5qUIOxdD
1,Opening up your first bank account,adult,F,50 Ways to Leave Your Lover,Paul Simon,6,3,7,4,4,n,NA,5,5,1,1,3,3,4,spotify:track:6Qb7gtV6Q4MnUjSbkFcopl
1,A time cooking in your 20's,adult,F,The First Time Ever I Saw Your Face,Roberta Flack,7,3,6,3,5,y,1,4,5,1,3,4,3,5,spotify:track:0SxFyA4FqmEQqZVuAlg8lf
1,Atime picking up a new hobby in your 20's,adult,F,Delta Dawn,Helen Reddy,8,3,5,5,3,n,NA,4,4,1,3,2,1,3,spotify:track:53RGKUb4zvhHaDCmjgUrIP
1,The day when you/your partner found out you were going to have a child,adult,F,You Are The Sunshine Of My Life,Stevie Wonder,9,3,6,6,5,n,NA,5,5,1,4,4,3,5,spotify:track:0n2pjCIMKwHSXoYfEbYMfX
1,Moving into your first home after your parents house or dorm,adult,F,My Love,Paul McCartney,10,3,7,6,5,y,1,4,5,1,4,4,2,5,spotify:track:6q9JjGg7puap2DyEqfP31k
1,A time eating a favorite meal your parents prepared for you as a child,child,F,Twilight Time,The Platters,11,3,5,5,4,n,NA,3,3,1,2,1,2,3,spotify:track:6qsRKJJHLGSCPsdt2jEs2t
1,A trip to the zoo as a child,child,F,Round and Round (with Mitchell Ayres and His Orchestra & The Ray Charles Singers),Perry Como,12,3,4,6,5,n,NA,3,3,2,1,1,1,3,spotify:track:6hdPYYPHJz6IPuH4KayU1d
1,A celebration of your own birthday during childhood,child,F,Pony Time,Chubby Checker,13,3,5,5,4,y,1,3,3,1,2,1,1,3,spotify:track:45gAw2xmDx9DZAnoiJK723
1,A moment when you played dolls/toys with a friend,child,F,Smoke Gets In Your Eyes - Single Version,The Platters,14,3,5,6,5,n,NA,3,3,1,3,2,2,3,spotify:track:3z0Fm7pHB6ojjfj8JY6QRW
1,A trip to an amusement park as a child,child,F,Charlie Brown,The Coasters,15,3,6,6,5,n,NA,3,5,1,3,2,1,4,spotify:track:6Q0aBakbTsjQO6iGdxmXlx
2,A time breaking the rules of your parents as a teen,adol,C,10,no music,1,1,6,7,6,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,A religious ceremony during your adolescence,adol,C,5,no music,2,1,6,5,2,y,1,NA,NA,NA,NA,NA,NA,NA,NA
2,First time you taught someone younger than you how to do something,adol,C,1,no music,3,1,5,4,3,y,1,NA,NA,NA,NA,NA,NA,NA,NA
2,A moment with your high school best friend,adol,C,7,no music,4,1,5,5,5,y,1,NA,NA,NA,NA,NA,NA,NA,NA
2,A halloween during high school,adol,C,13,no music,5,1,4,4,2,y,1,NA,NA,NA,NA,NA,NA,NA,NA
2,A time playing an outdoor game during childhood,child,C,4,no music,6,1,5,5,5,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,A memorable playdate with a childhood friend,child,C,2,no music,7,1,5,5,7,y,1,NA,NA,NA,NA,NA,NA,NA,NA
2,A time with a babysitter you had during childhood,child,C,14,no music,8,1,4,5,6,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
